Date,share35,Master,Debt,Deposits,share20,share65,Thaishare,estate,abroadshare,abroadDebt,gold,active,vayu
31/10/2568,34.1437,30.2214,24.1722,21.4402,29.5963,39.8323,23.1042,22.9965,32.4382,28.5395,53.5577,33.9444,10.8187
30/10/2568,34.1992,30.2638,24.1863,21.4294,29.6353,39.9106,23.1506,22.8828,32.5123,28.5511,53.8845,34.0127,10.8186
29/10/2568,34.1937,30.2475,24.1965,21.4286,29.6267,39.9157,23.0707,22.8556,32.6011,28.5774,52.6747,34.0129,10.8186
28/10/2568,34.2423,30.3154,24.2007,21.4275,29.6725,39.957,23.0985,22.8281,32.5735,28.6544,53.1627,34.0319,10.8186
27/10/2568,34.3971,30.4082,24.1898,21.4264,29.7597,40.2223,23.2761,22.8242,32.8312,28.6665,53.992,34.2729,10.8175
24/10/2568,34.372,30.4355,24.1922,21.4233,29.7673,40.1294,23.3803,22.8025,32.5461,28.6615,55.6406,34.1888,10.8175
22/10/2568,34.3101,30.43,24.1931,21.4213,29.7532,39.97,23.1382,22.9628,32.3513,28.7123,55.7722,34.0499,10.7176
21/10/2568,34.2693,30.3908,24.1782,21.4203,29.7197,39.914,22.9109,23.0907,32.3735,28.6893,55.662,33.9989,10.8175
20/10/2568,34.3029,30.4404,24.2034,21.4193,29.7621,39.9087,22.7721,22.8277,32.2275,28.6427,59.2116,33.9865,10.7176
17/10/2568,34.1493,30.3663,24.2289,21.4175,29.6797,39.6273,22.5699,22.9306,31.9569,28.6223,57.1298,33.7333,10.7176
16/10/2568,34.1519,30.3602,24.2379,21.4165,29.6843,39.6365,22.7809,23.0284,31.8998,28.6133,57.9795,33.7411,10.8175
15/10/2568,34.0723,30.3202,24.2695,21.416,29.6361,39.5047,22.7283,22.9015,31.7685,28.5781,56.6673,33.6185,10.8176
14/10/2568,34.0833,30.3437,24.2746,21.4154,29.6476,39.4852,22.3291,22.8521,31.8351,28.574,56.1467,33.6016,10.8177
10/10/2568,34.0393,30.2749,24.2725,21.4131,29.5965,39.4757,22.6289,22.9638,31.8814,28.5075,54.2666,33.6056,10.818
09/10/2568,34.0913,30.2482,24.2741,21.4125,29.5854,39.6814,22.8549,23.0231,32.2329,28.407,53.5026,33.797,10.918
08/10/2568,34.1089,30.2749,24.3031,21.4119,29.6114,39.6767,22.6986,22.976,32.2272,28.4271,54.428,33.7879,10.9181
07/10/2568,34.0412,30.2302,24.3075,21.4116,29.5701,39.5589,22.6673,22.8874,32.1109,28.4071,53.5337,33.684,10.8182
06/10/2568,34.0263,30.2145,24.3132,21.4109,29.5559,39.5435,22.431,22.9736,32.1829,28.3814,53.168,33.6693,10.8182
03/10/2568,33.9442,30.1672,24.3109,21.4092,29.5088,39.4032,22.5561,22.9097,31.9931,28.4032,52.0789,33.542,10.9184
02/10/2568,33.8858,30.1368,24.3067,21.4086,29.477,39.2944,22.5236,22.9676,31.8505,28.406,51.6471,33.4416,10.8185
01/10/2568,33.8141,30.1078,24.3076,21.4078,29.4439,39.1421,22.3817,23.045,31.6361,28.3876,51.7873,33.2995,10.8186
30/09/2568,33.7916,30.1016,24.3072,21.4072,29.4344,39.0894,22.4542,23.0859,31.5113,28.3694,51.7882,33.2501,10.8187
29/09/2568,33.6515,30.0035,24.285,21.3963,29.3421,38.8744,22.6257,23.0174,31.2123,28.3467,51.1034,33.0491,10.8185
26/09/2568,33.5559,29.9301,24.2789,21.3933,29.2711,38.7183,22.4688,22.8479,31.1098,28.2904,50.2491,32.9035,10.8174
25/09/2568,33.5346,29.9119,24.3062,21.3923,29.2624,38.678,22.5988,22.8174,31.0596,28.2795,49.7947,32.8699,10.9173
24/09/2568,33.5129,29.9014,24.3227,21.3913,29.2551,38.6333,22.3877,22.8688,31.0847,28.3044,49.3907,32.8265,10.9173
23/09/2568,33.4495,29.8597,24.3204,21.3903,29.2182,38.5286,22.3589,22.6334,30.9623,28.3065,49.5754,32.7294,10.8174
22/09/2568,33.4268,29.824,24.332,21.3893,29.1959,38.5088,22.5086,22.4682,30.945,28.2868,49.3223,32.7059,10.8174
19/09/2568,33.4414,29.8314,24.3232,21.3862,29.2053,38.5387,22.673,23.0208,30.9484,28.3094,48.5705,32.7324,10.9174
18/09/2568,33.3902,29.7905,24.3042,21.3851,29.1714,38.4605,22.6616,23.1097,30.8759,28.3283,47.9798,32.6637,10.8174
17/09/2568,33.3487,29.7759,24.2874,21.3839,29.1544,38.3755,22.7964,23.3185,30.6973,28.3654,48.0807,32.5833,10.9174
16/09/2568,33.2948,29.7407,24.2516,21.3829,29.1158,38.2971,22.8229,23.209,30.5756,28.3684,48.3874,32.5123,10.9174
15/09/2568,33.3581,29.7813,24.2403,21.3825,29.1488,38.4112,22.8313,22.9671,30.7099,28.3878,48.5961,32.6178,10.9174
12/09/2568,33.2139,29.7078,24.3101,21.3795,29.0824,38.1152,22.7479,22.7444,30.3304,28.3256,47.8547,32.3433,10.9174
11/09/2568,33.2792,29.7673,24.3472,21.3785,29.1354,38.1877,22.6972,22.4155,30.4101,28.3834,47.962,32.4056,10.9174
10/09/2568,33.174,29.7128,24.3614,21.3782,29.0798,37.9832,22.5624,22.1829,30.1522,28.3385,47.947,32.2164,10.9175
09/09/2568,33.0708,29.6571,24.3765,21.3779,29.0238,37.7968,22.5686,22.1231,29.8831,28.2882,47.5957,32.0416,10.9176
08/09/2568,33.1036,29.6984,24.375,21.3775,29.057,37.8159,22.4053,21.8741,29.8938,28.3461,47.9993,32.0572,10.8177
05/09/2568,33.1887,29.7576,24.3764,21.3765,29.1019,37.956,22.44,21.6912,30.0416,28.3317,47.9439,32.1874,10.918
04/09/2568,33.1734,29.743,24.3694,21.3761,29.0831,37.9486,22.3548,21.6507,30.0598,28.2571,47.5415,32.1848,10.9181
03/09/2568,33.1472,29.7222,24.3687,21.3759,29.0656,37.897,22.4386,21.6083,29.9408,28.198,47.7807,32.1387,10.8183
02/09/2568,33.0996,29.6984,24.3667,21.3755,29.0378,37.8075,22.3397,21.8445,29.8363,28.1426,47.4836,32.0504,10.8184
01/09/2568,33.069,29.6725,24.3573,21.3754,29.0123,37.7828,22.2117,21.8993,29.9201,28.1865,46.2439,32.0302,10.9185
29/08/2568,33.0742,29.6835,24.3365,21.3619,29.0168,37.7998,22.0484,21.6368,29.9819,28.2054,46.3138,32.049,10.8172
28/08/2568,33.1112,29.69,24.3357,21.3609,29.0276,37.8853,22.2489,21.897,30.0896,28.2329,45.8348,32.128,10.8172
27/08/2568,33.1136,29.697,24.3322,21.36,29.0329,37.8909,22.1568,21.8665,30.12,28.2199,45.6487,32.1359,10.8172
26/08/2568,33.1327,29.7021,24.3388,21.3592,29.0431,37.9326,22.1629,21.9457,30.1883,28.2017,45.5853,32.176,10.7173
25/08/2568,33.118,29.6831,24.3379,21.3579,29.0259,37.9111,22.2963,21.7884,30.1411,28.1846,45.1898,32.1561,10.7173
22/08/2568,33.1667,29.7259,24.3221,21.3551,29.0569,37.9807,22.1522,21.6033,30.228,28.2203,45.5768,32.2182,10.7173
21/08/2568,33.0391,29.6559,24.3135,21.3543,28.9849,37.7433,22.1028,21.6796,29.8974,28.1531,45.07,32.0053,10.7173
20/08/2568,33.0542,29.6678,24.3143,21.3532,28.9968,37.7686,22.2009,21.7057,29.9139,28.1984,45.1226,32.0266,10.8173
19/08/2568,33.0299,29.6426,24.3138,21.353,28.9767,37.7585,21.9461,21.7211,30.0267,28.1709,44.6144,32.022,10.7173
18/08/2568,33.0439,29.6424,24.3133,21.3519,28.9777,37.8018,21.9963,21.8384,30.0825,28.1434,44.8051,32.0625,10.7174
15/08/2568,33.054,29.6383,24.2949,21.3497,28.9767,37.8324,22.2307,21.9444,30.0654,28.158,44.8366,32.09,10.7175
14/08/2568,33.0305,29.6233,24.282,21.3486,28.965,37.7927,22.3102,21.8829,29.9995,28.2081,44.7263,32.056,10.7175
13/08/2568,33.0066,29.6075,24.2594,21.3487,28.9472,37.7431,22.5307,22.1036,29.8501,28.2437,44.8618,32.0052,10.8176
08/08/2568,32.8702,29.5313,24.2234,21.3459,28.8675,37.4727,22.1842,21.7837,29.5086,28.184,45.5153,31.7561,10.618
07/08/2568,32.8447,29.5207,24.2218,21.3453,28.8595,37.4011,22.2309,21.7081,29.3792,28.2295,45.5166,31.6888,10.5182
